temp_order	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
4993	GO:0010889	3.36716234375634e-06	0.999999982006853	3	12	regulation of sequestering of triglyceride	BP
1124	GO:0002526	4.14992263606864e-06	0.999999859998518	5	95	acute inflammatory response	BP
7424	GO:0030730	6.92546854006535e-06	0.999999950669592	3	15	sequestering of triglyceride	BP
2295	GO:0004867	4.36943006031548e-05	0.999998525996793	4	77	serine-type endopeptidase inhibitor activity	MF
3995	GO:0008295	6.3164555639196e-05	0.999999846532976	2	5	spermidine biosynthetic process	BP
12322	GO:0046456	8.84569615364948e-05	0.999998371944526	3	34	icosanoid biosynthetic process	BP
4994	GO:0010890	0.000132442946878067	0.999999463393336	2	7	positive regulation of sequestering of triglyceride	BP
4987	GO:0010883	0.000143736275674987	0.999996849529969	3	40	regulation of lipid storage	BP
4980	GO:0010876	0.000161330217585728	0.999983896315984	6	325	lipid localization	BP
3949	GO:0008216	0.000178538031300063	0.999999126585297	2	8	spermidine metabolic process	BP
18949	GO:1901570	0.000206134270885313	0.999994860179321	3	45	fatty acid derivative biosynthetic process	BP
1201	GO:0002673	0.000280027580579932	0.999992209969533	3	50	regulation of acute inflammatory response	BP
20941	GO:1905952	0.000293545782206574	0.999983499574752	4	126	regulation of lipid localization	BP
2294	GO:0004866	0.000353305506717251	0.999979123038257	4	132	endopeptidase inhibitor activity	MF
5038	GO:0010951	0.000406204337993021	0.999975074523881	4	137	negative regulation of endopeptidase activity	BP
7288	GO:0030414	0.00043013891317849	0.999973194057561	4	139	peptidase inhibitor activity	MF
15030	GO:0061135	0.000431091444745757	0.999973118880816	4	139	endopeptidase regulator activity	MF
4989	GO:0010885	0.000489392627370856	0.999995631903559	2	13	regulation of cholesterol storage	BP
3270	GO:0006596	0.000495062728552716	0.999995555533857	2	13	polyamine biosynthetic process	BP
6652	GO:0019915	0.000604802279486187	0.999977866137723	3	65	lipid storage	BP
16156	GO:0071404	0.000643550296140028	0.999993282558678	2	15	cellular response to low-density lipoprotein particle stimulus	BP
4982	GO:0010878	0.000654721205455045	0.999993106274247	2	15	cholesterol storage	BP
4454	GO:0009309	0.000665806940782153	0.999992929819636	2	15	amine biosynthetic process	BP
10567	GO:0042401	0.000665806940782153	0.999992929819636	2	15	cellular biogenic amine biosynthetic process	BP
14093	GO:0052548	0.000713595288745981	0.999926221911929	5	281	regulation of endopeptidase activity	BP
9212	GO:0034361	0.000860659342561438	0.999989451234824	2	17	very-low-density lipoprotein particle	CC
9234	GO:0034385	0.000860659342561438	0.999989451234824	2	17	triglyceride-rich plasma lipoprotein particle	CC
3269	GO:0006595	0.000861574570988895	0.999989434336634	2	17	polyamine metabolic process	BP
20943	GO:1905954	0.000883220079189766	0.999963011983059	3	74	positive regulation of lipid localization	BP
15029	GO:0061134	0.000918957065377057	0.999929594574129	4	170	peptidase regulator activity	MF
10478	GO:0042219	0.000970518476033121	0.999987288144029	2	18	cellular modified amino acid catabolic process	BP
4880	GO:0010743	0.00117079523369169	0.999982976871196	2	20	regulation of macrophage derived foam cell differentiation	BP
4725	GO:0010466	0.00120224355675045	0.9999008450374	4	183	negative regulation of peptidase activity	BP
12303	GO:0046394	0.00125846054280445	0.999852034254848	5	318	carboxylic acid biosynthetic process	BP
11118	GO:0043436	0.00126029081919536	0.999749180151726	8	853	oxoacid metabolic process	BP
5631	GO:0016053	0.00127605527005384	0.999849489010049	5	319	organic acid biosynthetic process	BP
4988	GO:0010884	0.00129318594829236	0.999980146257209	2	21	positive regulation of lipid storage	BP
